32 teeth,0.965,0.775,0,0.968,0.903
a little hungry,0.757,0,0,0,0.252
a little specific,0.089,0.132,-0.10,0.119,0.079
a lot,0.277,0.161,0,0.337,0.258
a lot of books,0,0.076,0,0.066,0.047
a lot of energy,0,0,0,0.766,0.255
a lot of flowers,0.027,0.093,0.025,0.071,0.055
a lot of food,0.043,-0.05,0,0,0.033
a lot of fun,0.814,0,0,0.856,0.557
a lot of money,0,0.131,0,0,0.044
a lot of people,0.08,-0.02,0,0,0.036
a lot of practice,0.808,0,0,0.943,0.584
a lot of sex,0.791,0.934,0,0.85,0.858
a lot of space,0.922,0.964,0,0,0.629
a lot of time,0.918,0.988,0,0,0.635
a lot of work,0.761,0.937,0,0,0.566
aaa,0.856,0,0,0.963,0.606
abbreviate,-0.04,0.127,-0.12,0.223,0.061
abc,0.03,-0.00,0,0.089,0.043
abdomen,0.902,0.764,0,0,0.555
abdominal distension,0.759,-0.72,0,0.893,0.793
abdominal tenderness,0.759,-0.72,0,0.893,0.793
abdominoplasty,0.96,-0.83,0,0.566,0.788
abductor,0.934,-0.62,0,0.79,0.781
abductor muscle,0.934,-0.62,0,0.79,0.781
abidance,0.614,-0.95,0,0.768,0.778
abide,0.038,0,0,0.097,0.045
abide by,0.731,-0.59,0,0.634,0.652
ability,0,0.273,-0.16,0.277,0.129
ability communicate,0,0.926,0,0.816,0.581
ability hear,0.708,0,0,0,0.236
ability read,0.72,0,0,0.888,0.536
ability see,0.837,0,0,0,0.279
ablaze,0.641,-0.73,0,0.798,0.724
able,0.982,-0.67,0,0.682,0.778
able eat,0.919,0.768,0,0,0.562
able hear,0.757,-0.76,0,0,0.506
able read,0.972,0.895,0,0.727,0.865
able run,0.731,0.729,0,0.866,0.775
able see,0.071,0.111,0,0.078,0.087
able use,0.84,0.813,0,0.915,0.856
abnormal gait,0.789,-0.99,0,0.54,0.776
abnormal posture,0.789,-0.99,0,0.54,0.776
abnormal prion,0.962,-0.89,0,0.855,0.905
abolish,0.046,-0.66,0,0.365,0.357
aboriginal,0.066,0.12,-0.10,0.121,0.068
abortionist,0,0.917,0,0.776,0.564
above,0.756,0,0,0.837,0.531
above all,0.753,0,0,0.832,0.528
above earth,0,0.09,0,0.066,0.052
above leg,0.023,0.085,-0.04,0.088,0.05
abridge,0.923,0.761,0,0,0.561
abridgement,0,0.175,0.084,0.133,0.075
abs plastic,0.044,-0.66,0,0.361,0.355
absence of danger,0.046,-0.66,0,0.365,0.357
absence of risk,0.046,-0.66,0,0.365,0.357
absent mindedness,0.983,-0.63,0,0.697,0.772
absolute,0,0,0,0.785,0.262
absolute nothingness,0.949,-0.55,0,0.595,0.699
absolute pitch,0.785,-0.99,0,0.981,0.92
absolute silence,0.449,0.305,-0.19,0.222,0.261
absolute term,0.985,0,0,0.739,0.575
absolute truth,0,0,0,0.785,0.262
absolute value,0.037,0,0.026,0.129,0.047
absolutely,0.77,0,0,0.996,0.589
absoluteness,0,0,0,0.785,0.262
absolution,0.901,0,0,0.916,0.606
absolved,0.911,-0.74,0,0.7,0.786
absolvitory,0.579,-0.54,0,0.784,0.635
absorb,0.869,-0.59,0,0.66,0.709
absorb information,0.757,0.896,0,0.538,0.73
absorb moisture,0,0.799,0,0,0.266
