a little,-0.99,0,0,-0.70,-0.56
a lot of fat,0,0,0.758,-0.77,-0.51
a lot of noise,0,0,0.896,-0.96,-0.61
a lot of stress,-0.18,-0.01,-0.10,-0.16,-0.14
a lot of study,0,0,0.788,-0.71,-0.5
aaa hockey,0,0,-0.05,-0.05,-0.03
aah,0,0,0.727,-0.80,-0.51
abandon,-0.99,0,0,-0.70,-0.56
abandoned person,-0.67,0,0.838,-0.86,-0.79
abandonment,-0.97,0,-0.98,0,-0.65
abase,-0.86,0,-0.88,0,-0.58
abasement,-0.86,0,-0.88,0,-0.58
abash,-0.74,0,0.882,0,-0.54
abashed,-0.76,0,0,-0.82,-0.52
abashment,-0.88,0,0.916,0,-0.60
abate,-0.92,0,0.757,-0.90,-0.86
abatement,0,0,0.994,-0.95,-0.65
abdicate,-0.78,0,0.801,-0.87,-0.81
abdication,0,0,-0.96,-0.86,-0.60
abdominal discomfort,-0.06,0,-0.15,-0.12,-0.11
abdominal distention,-0.58,0,0.773,-0.79,-0.71
abdominal ectopic gestation,-0.75,0,0.706,-0.73,-0.72
abdominal injury,-0.03,-0.00,-0.07,-0.18,-0.09
abdominal pain,-0.73,0,-0.98,0,-0.57
abdominal pregnancy,-0.75,0,0.715,-0.72,-0.73
abduction,0,0,-0.92,-0.87,-0.60
aberrance,-0.85,0,0.936,-0.80,-0.86
aberrancy,-0.55,0,0.911,-0.98,-0.81
aberrant,-0.88,0,0.882,-0.58,-0.78
abetalipoproteinemia,-0.86,0,0.76,-0.97,-0.86
abhor,-0.06,0.183,0.651,-0.64,-0.39
abhorrence,-0.06,0.183,0.651,-0.64,-0.39
abhorrent,-0.06,0.123,0.712,-0.67,-0.44
abience,-0.70,0,0.973,0,-0.55
abject,-0.97,0,0,-0.84,-0.60
abjection,-0.56,0,0.512,-0.50,-0.52
abjectly,-0.98,0,0,-0.92,-0.63
abjure,-0.97,0,0.616,-0.58,-0.72
ablate,-0.87,0,0,-0.74,-0.53
ablate down,-0.97,0,0.539,-0.56,-0.69
ablate off,-0.97,0,0.532,-0.55,-0.68
ablate out,-0.98,0,0.538,-0.55,-0.69
ablate thin,-0.98,0,0.534,-0.55,-0.69
ablution,-0.93,0,0.807,-0.95,-0.89
abnegate,-0.88,0,0.938,-0.99,-0.94
abnormal,-0.58,0,0.814,-0.54,-0.64
abnormal bone,0,0,0.025,-0.09,-0.04
abnormal heart rhythm,-0.73,0,-0.98,0,-0.57
abnormalcy,-0.85,0,0.936,-0.80,-0.86
abnormality,-0.85,0,0.936,-0.80,-0.86
abolished corporal punishment,-0.83,0,0.924,-0.79,-0.85
abominable,0,0,0.731,-0.86,-0.53
abominable snowman,0,0,0.836,-0.90,-0.58
abominably,-0.06,0.123,0.712,-0.67,-0.44
abominate,-0.06,0.183,0.651,-0.64,-0.39
abomination,-0.06,0.183,0.651,-0.64,-0.39
abominator,0,0,0.731,-0.87,-0.53
abortion,-0.89,0,-0.80,0,-0.56
abortion ban,-0.89,0,-0.80,0,-0.56
abortion foe,-0.89,0,-0.80,0,-0.56
abortion law,-0.89,0,-0.80,0,-0.56
abortion opponent,-0.89,0,-0.80,0,-0.56
abortion right,-0.89,0,-0.80,0,-0.56
abortion right activist,-0.89,0,-0.80,0,-0.56
abortion right advocate,-0.89,0,-0.80,0,-0.56
abortion right group,-0.89,0,-0.80,0,-0.56
abortive,-0.70,0,0.919,-0.73,-0.78
abortus,-0.78,0,0,-0.83,-0.53
abound,-0.13,0.071,0.694,-0.67,-0.47
aboveground biomass,-0.93,0,0.906,-0.53,-0.79
abrade,-0.99,0,0.869,-0.60,-0.82
abrasion,-0.10,0,-0.05,-0.09,-0.08
abrasive,-0.06,0,0,-0.03,-0.03
abroad,-0.52,0,0.775,-0.98,-0.76
abrogates,-0.92,0,0,-0.85,-0.59
abrupt,-0.73,0,0.865,-0.87,-0.82
abruptness,-0.56,0,0.828,-0.68,-0.69
abscess,-0.71,0,-0.74,0,-0.48
abscess cavity,-0.56,0,0.806,-0.76,-0.70
abscess formation,-0.53,0,0.671,-0.55,-0.58
abscessed,-0.54,0,0.665,-0.56,-0.59
abscesses,-0.71,0,-0.74,0,-0.48
abscisic acid,-0.75,0,0.512,-0.75,-0.67
abscission,-0.75,0,0.512,-0.75,-0.67
abscond,0,0,0.914,-0.87,-0.59
absconding,0,0,0.906,-0.88,-0.59
absence,-0.56,0,-0.49,-0.09,-0.38
absence of communication,-0.95,0,0.549,-0.99,-0.83
absence of light,-0.73,0,-0.87,0,-0.53
absence seizure,-0.75,0,0,-0.97,-0.57
absent,-0.13,0,0,-0.04,-0.05
absent exceptional circumstance,-0.88,0,0.727,-0.82,-0.81
absentee,-0.51,0,0.63,-0.84,-0.66
absolute alcohol,0,0,0.74,-0.85,-0.53
absolute liability,-0.69,0,0.516,-0.96,-0.72
absolute monarchies,-0.83,0,0.858,-0.79,-0.83
absolute monarchy,-0.83,0,0.858,-0.79,-0.83
absolute necessity,-0.97,0,0.675,-0.93,-0.86
absolute vodka,0,0,0.734,-0.86,-0.53
absolutely clear,-0.66,0,0.721,-0.53,-0.64
absolutely necessary,-0.97,0,0.84,-0.52,-0.78
absolutism,-0.83,0,0.858,-0.79,-0.83
absorb oxygen,-0.57,0,0.767,-0.61,-0.65
absorbable suture,-0.90,0,0,-0.95,-0.61
absorbs moisture,-0.57,0,0.767,-0.61,-0.65
abstemiousness,-0.74,0,0.585,-0.58,-0.63
abstinence,0,0,0.863,-0.98,-0.61
abstinent,-0.96,0,0,-0.76,-0.57
abstract notion,-0.63,0,0.694,-0.66,-0.66
abstruseness,0,0,-0.82,-0.96,-0.59
abstrusity,0,0,-0.82,-0.95,-0.59
absurd,0,0,0.731,-0.82,-0.51
absurdity,-0.96,0,0.261,-0.95,-0.72
absurdly,-0.99,0,-0.92,0,-0.64
abugida,-0.86,0,0.619,-0.80,-0.76
abuse,-0.25,-0.03,-0.15,-0.28,-0.22
abuse neglect,-0.94,0,0.923,-0.98,-0.95
abusive,-0.73,0,0.977,0,-0.57
abusive father,0,0,0.821,-0.95,-0.59
